OrthoRecord,Token,Normalized,Status,Comments
urn:cite:hmt:normalized.1511,τοῦτ,τοῦτ᾽,rejected,
urn:cite:hmt:normalized.288,τοῦτ,τοῦτ᾽,rejected,
urn:cite:hmt:normalized.714,τοῦτ,τοῦτ᾽,rejected,
urn:cite:hmt:normalized.775,τοῦτ,τοῦτ᾽,rejected,
urn:cite:hmt:normalized.190,ὑπ᾽έασι,ὑπέασι,rejected,
urn:cite:hmt:normalized.98,ὑπ᾽έασι,ὑπέασι,rejected,
urn:cite:hmt:normalized.1034,ὑπ,ὑπ᾽,rejected,
urn:cite:hmt:normalized.352,ὑφ,ὑφ᾽,rejected,
urn:cite:hmt:normalized.1048,αναγκαῖον,ἀναγκαῖον,rejected,
urn:cite:hmt:normalized.496,αναγκαῖον,ἀναγκαῖον,rejected,
urn:cite:hmt:normalized.595,αντι,ἀντὶ,rejected,
urn:cite:hmt:normalized.290,ἀντι,ἀντὶ,rejected,
urn:cite:hmt:normalized.718,ἀνυπώκριτός,ἀνυπόκριτος,rejected,
urn:cite:hmt:normalized.225,άξω,ἄξω,rejected,
urn:cite:hmt:normalized.54,ἀπέδοκαν,ἀπέδωκαν,rejected,
urn:cite:hmt:normalized.614,ἀπέδοκαν,ἀπέδωκαν,rejected,
urn:cite:hmt:normalized.1155,αποπειρᾶται,ἀποπειρᾶται,rejected,
urn:cite:hmt:normalized.219,άρ,ἄρ,rejected,
urn:cite:hmt:normalized.191,άρα,ἄρα,rejected,
urn:cite:hmt:normalized.353,άρα,ἄρα,rejected,
urn:cite:hmt:normalized.622,άρα,ἄρα,rejected,
urn:cite:hmt:normalized.99,άρα,ἄρα,rejected,
urn:cite:hmt:normalized.91,Ϊρήν,Ἱρή,νrejected,
urn:cite:hmt:normalized.400,αἱτιατική,αἰτιατική,rejected,
urn:cite:hmt:normalized.355,ακόλουθον,ἀκόλουθον,rejected,
urn:cite:hmt:normalized.593,ακούειν,ἀκούειν,rejected,
urn:cite:hmt:normalized.817,ακούειν,ἀκούειν,rejected,
urn:cite:hmt:normalized.1582,αναστρεπτέον,ἀναστρεπτέον,rejected,
urn:cite:hmt:normalized.143,ἀραρύιᾱς,ἀραρυίας,rejected,
urn:cite:hmt:normalized.235,ἀραρύιᾱς,ἀραρυίας,rejected,
urn:cite:hmt:normalized.596,αρέσκει,ἀρέσκει,rejected,
urn:cite:hmt:normalized.393,αῦτε,αὖτε,rejected,
urn:cite:hmt:normalized.498,αῦτη,αὐτῇ,rejected,
urn:cite:hmt:normalized.1095,αύτην,αὐτήν,rejected,
urn:cite:hmt:normalized.696,αυτὴν,αὐτήν,rejected,
urn:cite:hmt:normalized.213,αῦτις,αὖτις,rejected,
urn:cite:hmt:normalized.390,αῦτις,αὖτις,rejected,
urn:cite:hmt:normalized.457,αῦτις,αὖτις,rejected,
urn:cite:hmt:normalized.690,αῦτις,αὖτις,rejected,
urn:cite:hmt:normalized.306,ἀυτὸν,αὐτὸν,rejected,
urn:cite:hmt:normalized.1094,αὐτον,αὐτόν,rejected,
urn:cite:hmt:normalized.900,αὐτον,αὐτόν,rejected,
urn:cite:hmt:normalized.931,αὐτον,αὐτόν,rejected,
urn:cite:hmt:normalized.189,αύτως,αὔτως,rejected,
urn:cite:hmt:normalized.1168,βελτιον,βέλτιον,rejected,
urn:cite:hmt:normalized.1420,Γλωσσογραφοι,Γλωσσογράφοι,rejected,
urn:cite:hmt:normalized.1233,δώσῳ,δώσω,rejected,
urn:cite:hmt:normalized.261,έαται,ἕαται,rejected,
urn:cite:hmt:normalized.933,εαυτὸ,ἑαυτό,rejected,
urn:cite:hmt:normalized.587,έβαλον,ἔβαλον,rejected,
urn:cite:hmt:normalized.188,έειπεν,ἔειπεν,rejected,
urn:cite:hmt:normalized.209,εθέλεσκε,ἐθέλεσκε,rejected,
urn:cite:hmt:normalized.231,εθέλεσκες,ἐθέλεσκες,rejected,
urn:cite:hmt:normalized.1169,ειδοι,ἴ̈δο,ιrejected,
urn:cite:hmt:normalized.200,είν,εἰν,rejected,
urn:cite:hmt:normalized.435,εἰναι,εἶναι,rejected,
urn:cite:hmt:normalized.1189,εῖναι,εἶναι,rejected,
urn:cite:hmt:normalized.407,εῖναι,εἶναι,rejected,
urn:cite:hmt:normalized.960,εῖναι,εἶναι,rejected,
urn:cite:hmt:normalized.592,είσατο,εἴσατο,rejected,
urn:cite:hmt:normalized.1139,εἰωθασι,εἰώθασι,rejected,
